customer_id,campaign_a,campaign_b,campaign_c,age,gender,campaignb_purchase_amount
00035660,FALSE,FALSE,FALSE,46,1,24700
00052780,FALSE,FALSE,FALSE,54,1,40300
00023790,FALSE,FALSE,FALSE,22,1,10100
00017961,FALSE,FALSE,FALSE,37,1,23100
00030623,FALSE,FALSE,FALSE,29,1,11400
00010011,FALSE,FALSE,FALSE,36,1,16200
00012317,FALSE,FALSE,FALSE,30,1,10500
00012118,FALSE,FALSE,FALSE,39,1,21600
00018061,FALSE,FALSE,FALSE,39,1,14900
00016284,FALSE,FALSE,FALSE,53,1,12400
00047243,FALSE,FALSE,FALSE,46,1,24100
00027779,FALSE,FALSE,FALSE,45,1,11500
00024477,FALSE,FALSE,TRUE,37,1,26200
00063980,FALSE,FALSE,FALSE,53,1,41500
00019616,FALSE,FALSE,FALSE,56,1,19400
00024407,FALSE,FALSE,FALSE,54,1,39400
00016768,FALSE,FALSE,FALSE,65,1,9000
00035963,FALSE,FALSE,FALSE,43,1,3900
00045823,FALSE,FALSE,FALSE,47,1,32100
00051855,FALSE,FALSE,FALSE,41,1,23900
00034138,FALSE,FALSE,FALSE,48,1,2400
00026818,FALSE,FALSE,FALSE,45,1,32200
00021490,FALSE,FALSE,FALSE,57,1,37200
00012405,FALSE,FALSE,FALSE,48,1,39600
00031502,FALSE,FALSE,FALSE,44,1,14600
00011815,FALSE,FALSE,FALSE,45,1,12900
00041020,FALSE,FALSE,FALSE,43,1,10900
00085245,FALSE,FALSE,FALSE,49,1,6600
00013941,FALSE,FALSE,FALSE,39,1,9500
00025975,FALSE,FALSE,FALSE,69,1,29300
00035413,FALSE,FALSE,TRUE,41,1,21400
00027412,FALSE,FALSE,FALSE,41,1,2500
00027676,FALSE,FALSE,FALSE,62,1,15500
00020777,FALSE,FALSE,FALSE,48,1,2400
00012331,FALSE,FALSE,FALSE,53,1,1900
00017929,FALSE,FALSE,FALSE,57,1,30000
00072632,FALSE,FALSE,FALSE,43,1,19300
00020935,FALSE,FALSE,FALSE,36,1,26700
00070146,FALSE,FALSE,FALSE,61,1,6900
00046987,FALSE,FALSE,FALSE,52,1,8200
00020258,FALSE,FALSE,FALSE,38,1,1500
00014071,FALSE,FALSE,FALSE,55,1,35400
00016297,FALSE,FALSE,FALSE,45,1,32100
00038053,FALSE,FALSE,FALSE,27,1,9000
00012073,FALSE,FALSE,FALSE,41,1,31400
00077348,FALSE,FALSE,FALSE,40,1,31500
00070285,FALSE,FALSE,FALSE,45,1,10300
00021717,FALSE,FALSE,FALSE,36,1,19600
00014783,FALSE,FALSE,FALSE,38,1,6300
00014722,FALSE,FALSE,FALSE,29,1,16900
